"fnf.lang.arabic","العربية"
"fnf.theme.greenturtle.name","Grumpy"
"fnf.theme.hippopotamus.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.hippopotamus.name","Hippo"
"fnf.theme.horse.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.horse.name","Homer"
"fnf.theme.jindo.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.jindo.name","JD"
"fnf.theme.lion.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.lion.name","Mr.King"
"fnf.theme.lioness.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.lioness.name","Mrs.King"
"fnf.theme.loli.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.loli.name","Lory"
"fnf.theme.naru.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.naru.name","Naru"
"fnf.theme.otter.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.otter.name","Ott-meal"
"fnf.theme.panda.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.panda.name","Mao Ping"
"fnf.theme.penguin.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.penguin.name","Bully"
"fnf.theme.persian.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.persian.name","Agent S."
"fnf.theme.pig.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.pig.name","Babe"
"fnf.theme.pigblack.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.pigblack.name","Dave"
"fnf.theme.polarbear.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.polarbear.name","Cola"
"fnf.theme.pomeranian.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.pomeranian.name","Woofy"
"fnf.theme.pomewhite.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.pomewhite.name","Wacky"
"fnf.theme.rabbit.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.rabbit.name","Brownie"
"fnf.theme.raccoon.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.raccoon.name","Choco"
"fnf.theme.santa.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.santa.name","Santa"
"fnf.theme.sealion.desc","والإعلان مكافأة عملة يزيد قليلا بشكل دائم."
"fnf.theme.sealion.name","Aniki"
"fnf.theme.sheep.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.sheep.name","Mellow"
"fnf.theme.soan.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.soan.name","Small-eye"
"fnf.theme.welshcorgi.desc","ومبلغ اقتناء القطع النقدية تزيد قليلا بشكل دائم."
"fnf.theme.welshcorgi.name","Hazel"
"fnf.ui.best","أفضل درجة"
"fnf.ui.bi","override=en"
"fnf.ui.buy","شراء"
"fnf.ui.clear","تهنئة! مسح جميع المستوى"
"fnf.ui.connect","الاتصال"
"fnf.ui.connect.error.fail","فشل تسجيل الدخول"
"fnf.ui.connect.error.net","لا يوجد خطأ في اتصال شبكة الاتصال"
"fnf.ui.connect.login","تسجيل الدخول"
"fnf.ui.connect.logout","تسجيل الخروج"
"fnf.ui.connect.wait","الرجاء الانتظار"
"fnf.ui.credits","الاعتمادات"
"fnf.ui.erase","انقر فوق المربع الذي تريد مسحه"
"fnf.ui.gameover","Gameover"
"fnf.ui.home","الصفحة الرئيسية"
"fnf.ui.language","اللغة"
"fnf.ui.mute","الصوت قبالة"
"fnf.ui.nomoremove","نقل لا أكثر"
"fnf.ui.ok","موافق"
"fnf.ui.oops","عفوا! هل هو أفضل في المرة القادمة!"
"fnf.ui.option","الخيار"
"fnf.ui.pause","إيقاف مؤقت"
"fnf.ui.paw","مخلب لمحو؟"
"fnf.ui.rank","رتبة"
"fnf.ui.restore","استعادة"
"fnf.ui.retry","إعادة المحاولة"
"fnf.ui.reward","مكافأة"
"fnf.ui.share","حصة"
"fnf.ui.start","بدء تشغيل"
"fnf.ui.title","Animal Bang"
"fnf.ui.tutorial","البرنامج التعليمي"
"fnf.ui.tutorial.1","مرر تحريك المربعات"
"fnf.ui.tutorial.2","الجمع بين اثنين بعض المربعات للحصول على أكبر واحد"
"fnf.ui.tutorial.3","أنها أكثر عندما يكون هناك تحرك لا أكثر"
"fnf.ui.tutorial.4","استكمال جميع المستويات من كل موضوع الحيوان"
"fnf.ui.unmute","الصوت على"
"fnf.ui.victory","Victory"
"fnf.ui.yes","نعم، من فضلك!"
