"fnf.lang.arabic","العربية"
"fnf.theme.greenturtle.name","Grumpy"
"fnf.theme.hippopotamus.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.hippopotamus.name","Hippo"
"fnf.theme.horse.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.horse.name","Homer"
"fnf.theme.jindo.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.jindo.name","JD"
"fnf.theme.lion.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.lion.name","Mr.King"
"fnf.theme.lioness.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.lioness.name","Mrs.King"
"fnf.theme.loli.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.loli.name","Lory"
"fnf.theme.naru.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.naru.name","Naru"
"fnf.theme.otter.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.otter.name","Ott-meal"
"fnf.theme.panda.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.panda.name","Mao Ping"
"fnf.theme.penguin.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.penguin.name","Bully"
"fnf.theme.persian.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.persian.name","Agent S."
"fnf.theme.pig.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.pig.name","Babe"
"fnf.theme.pigblack.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.pigblack.name","Dave"
"fnf.theme.polarbear.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.polarbear.name","Cola"
"fnf.theme.pomeranian.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.pomeranian.name","Woofy"
"fnf.theme.pomewhite.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.pomewhite.name","Wacky"
"fnf.theme.rabbit.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.rabbit.name","Brownie"
"fnf.theme.raccoon.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.raccoon.name","Choco"
"fnf.theme.santa.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.santa.name","Santa"
"fnf.theme.sealion.desc","Bonus de publicité monnaie va augmenter de façon permanente peu."
"fnf.theme.sealion.name","Aniki"
"fnf.theme.sheep.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.sheep.name","Mellow"
"fnf.theme.soan.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.soan.name","Small-eye"
"fnf.theme.welshcorgi.desc","Le montant de l'acquisition de pièces de monnaie va augmenter de façon permanente peu."
"fnf.theme.welshcorgi.name","Hazel"
"fnf.ui.best","Meilleur Score"
"fnf.ui.bi","override=en"
"fnf.ui.buy","Achat"
"fnf.ui.clear","Félicitations ! Dégagé de tous niveau"
"fnf.ui.connect","Se connecter"
"fnf.ui.connect.error.fail","connexion a échoué"
"fnf.ui.connect.error.net","aucune erreur de connexion réseau"
"fnf.ui.connect.login","OUVERTURE DE SESSION"
"fnf.ui.connect.logout","LOGOUT"
"fnf.ui.connect.wait","Attendez s'il vous plaît"
"fnf.ui.credits","Crédits"
"fnf.ui.erase","Tapez sur la case que vous voulez effacer"
"fnf.ui.gameover","Gameover"
"fnf.ui.home","Accueil"
"fnf.ui.language","Langue"
"fnf.ui.mute","Sonores sur les"
"fnf.ui.nomoremove","Pas plus se déplacer"
"fnf.ui.ok","Bien"
"fnf.ui.oops","Oups ! Faire mieux la prochaine fois !"
"fnf.ui.option","Option"
"fnf.ui.pause","Pause"
"fnf.ui.paw","patte à effacer ?"
"fnf.ui.rank","Rang"
"fnf.ui.restore","Restauration"
"fnf.ui.retry","Nouvelle tentative"
"fnf.ui.reward","Bonus"
"fnf.ui.share","Partager"
"fnf.ui.start","Début"
"fnf.ui.title","Animal Bang"
"fnf.ui.tutorial","Tutorial"
"fnf.ui.tutorial.1","glisser pour déplacer des boîtes"
"fnf.ui.tutorial.2","combiner deux certaines cases pour obtenir un plus gros"
"fnf.ui.tutorial.3","C'est fini quand il n'y a pas plus déménagement"
"fnf.ui.tutorial.4","terminer tous les niveaux de chaque thème animaux"
"fnf.ui.unmute","Sonore sur"
"fnf.ui.victory","Victory"
"fnf.ui.yes","Oui, s'il vous plaît !"
