"fnf.lang.arabic","العربية"
"fnf.theme.hippopotamus.name","Hippo"
"fnf.theme.horse.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.horse.name","Homer"
"fnf.theme.jindo.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.jindo.name","JD"
"fnf.theme.lion.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.lion.name","Mr.King"
"fnf.theme.lioness.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.lioness.name","Mrs.King"
"fnf.theme.loli.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.loli.name","Lory"
"fnf.theme.naru.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.naru.name","Naru"
"fnf.theme.otter.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.otter.name","Ott-meal"
"fnf.theme.panda.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.panda.name","Mao Ping"
"fnf.theme.penguin.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.penguin.name","Bully"
"fnf.theme.persian.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.persian.name","Agent S."
"fnf.theme.pig.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.pig.name","Babe"
"fnf.theme.pigblack.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.pigblack.name","Dave"
"fnf.theme.polarbear.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.polarbear.name","Cola"
"fnf.theme.pomeranian.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.pomeranian.name","Woofy"
"fnf.theme.pomewhite.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.pomewhite.name","Wacky"
"fnf.theme.rabbit.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.rabbit.name","Brownie"
"fnf.theme.raccoon.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.raccoon.name","Choco"
"fnf.theme.santa.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.santa.name","Santa"
"fnf.theme.sealion.desc","Moneda de bonificación Publicidad aumentará permanentemente poco."
"fnf.theme.sealion.name","Aniki"
"fnf.theme.sheep.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.sheep.name","Mellow"
"fnf.theme.soan.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.soan.name","Small-eye"
"fnf.theme.welshcorgi.desc","Adquisición cantidad de monedas aumentará de forma permanente poco."
"fnf.theme.welshcorgi.name","Hazel"
"fnf.ui.best","Mejor banda sonora"
"fnf.ui.bi","override=en"
"fnf.ui.buy","Compra"
"fnf.ui.clear","Gracias! Borra todos los niveles"
"fnf.ui.connect","Conectar"
"fnf.ui.connect.error.fail","fallado el login"
"fnf.ui.connect.error.net","no hay error de conexión a red"
"fnf.ui.connect.login","INICIO DE SESIÓN"
"fnf.ui.connect.logout","CIERRE DE SESIÓN"
"fnf.ui.connect.wait","Espere por favor"
"fnf.ui.credits","Créditos"
"fnf.ui.erase","Pulse el cuadro que desea borrar"
"fnf.ui.gameover","Gameover"
"fnf.ui.home","Página de inicio"
"fnf.ui.language","Idioma"
"fnf.ui.mute","Sonido apagado"
"fnf.ui.nomoremove","No más movimiento"
"fnf.ui.ok","Vale"
"fnf.ui.oops","¡ Uy! Hacerlo mejor la próxima vez!"
"fnf.ui.option","Opción"
"fnf.ui.pause","Pausa"
"fnf.ui.paw","¿pata para borrar?"
"fnf.ui.rank","Rango"
"fnf.ui.restore","Restaurar"
"fnf.ui.retry","Vuelva a intentarlo"
"fnf.ui.reward","Bono"
"fnf.ui.share","Compartir"
"fnf.ui.start","Inicio"
"fnf.ui.title","Animal Bang"
"fnf.ui.tutorial","Tutorial"
"fnf.ui.tutorial.1","golpe para mover cajas"
"fnf.ui.tutorial.2","combinar dos algunas cajas para conseguir una mayor"
"fnf.ui.tutorial.3","Es más cuando hay no más movimiento"
"fnf.ui.tutorial.4","completa todos los niveles de cada tema animal"
"fnf.ui.unmute","Sonido en"
"fnf.ui.victory","Victory"
"fnf.ui.yes","Sí, por favor!"
