"fnf.lang.arabic","العربية"
"fnf.theme.horse.name","Homer"
"fnf.theme.jindo.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.jindo.name","JD"
"fnf.theme.lion.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.lion.name","Mr.King"
"fnf.theme.lioness.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.lioness.name","Mrs.King"
"fnf.theme.loli.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.loli.name","Lory"
"fnf.theme.naru.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.naru.name","Naru"
"fnf.theme.otter.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.otter.name","Ott-meal"
"fnf.theme.panda.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.panda.name","Mao Ping"
"fnf.theme.penguin.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.penguin.name","Bully"
"fnf.theme.persian.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.persian.name","Agent S."
"fnf.theme.pig.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.pig.name","Babe"
"fnf.theme.pigblack.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.pigblack.name","Dave"
"fnf.theme.polarbear.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.polarbear.name","Cola"
"fnf.theme.pomeranian.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.pomeranian.name","Woofy"
"fnf.theme.pomewhite.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.pomewhite.name","Wacky"
"fnf.theme.rabbit.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.rabbit.name","Brownie"
"fnf.theme.raccoon.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.raccoon.name","Choco"
"fnf.theme.santa.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.santa.name","Santa"
"fnf.theme.sealion.desc","Реклама бонус монеты увеличится постоянно мало."
"fnf.theme.sealion.name","Aniki"
"fnf.theme.sheep.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.sheep.name","Mellow"
"fnf.theme.soan.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.soan.name","Small-eye"
"fnf.theme.welshcorgi.desc","Сумма сбора монет будет увеличиваться постоянно мало."
"fnf.theme.welshcorgi.name","Hazel"
"fnf.ui.best","Лучший результат"
"fnf.ui.bi","override=en"
"fnf.ui.buy","Покупка"
"fnf.ui.clear","Поздравляем! Очистить все уровни"
"fnf.ui.connect","Подключение"
"fnf.ui.connect.error.fail","Ошибка входа"
"fnf.ui.connect.error.net","не ошибка сетевого подключения"
"fnf.ui.connect.login","ЛОГИН"
"fnf.ui.connect.logout","ВЫХОД"
"fnf.ui.connect.wait","Подождите пожалуйста"
"fnf.ui.credits","Кредиты"
"fnf.ui.erase","Коснитесь поля, которые вы хотите стереть"
"fnf.ui.gameover","Gameover"
"fnf.ui.home","Главная"
"fnf.ui.language","Язык"
"fnf.ui.mute","Звук выкл"
"fnf.ui.nomoremove","Нет больше двигаться"
"fnf.ui.ok","Хорошо"
"fnf.ui.oops","Ой! Делаете это лучше в следующий раз!"
"fnf.ui.option","Параметр"
"fnf.ui.pause","Пауза"
"fnf.ui.paw","Лапа стереть?"
"fnf.ui.rank","Ранг"
"fnf.ui.restore","Восстановление"
"fnf.ui.retry","Повтор"
"fnf.ui.reward","Бонус"
"fnf.ui.share","Предоставить общий доступ"
"fnf.ui.start","Начало"
"fnf.ui.title","Animal Bang"
"fnf.ui.tutorial","Учебник"
"fnf.ui.tutorial.1","перелистывать коробки"
"fnf.ui.tutorial.2","объединить две некоторые коробки, чтобы получить больше одного"
"fnf.ui.tutorial.3","Оно заканчивается, когда больше не перемещается"
"fnf.ui.tutorial.4","завершить все уровни каждого животного темы"
"fnf.ui.unmute","Звук на"
"fnf.ui.victory","Victory"
"fnf.ui.yes","Да, пожалуйста!"
